序号,功能模块*,用例名称*,用例编号,维护人,用例类型,优先级,前置条件,备注,步骤描述,预期结果,版本号,最新版本评审结果
1,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“取消”选项的功能-OpenHarmony,CJINO,曹Sir,功能测试,P0,OpenHarmony设备与Sink端未建立过连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备，选择取消选项,弹出弹窗提示，OpenHarmony设备的连接请求被拒绝,版本 1,待评审
2,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“取消”选项的功能-HarmonyOS Next,CJINH,曹Sir,功能测试,P0,HarmonyOS Next设备与Sink端未建立过连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备，选择取消选项,弹出弹窗提示，HarmonyOS Next设备的连接请求被拒绝,版本 1,待评审
3,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证鉴权弹窗功能-OpenHarmony,CJINJ,曹Sir,功能测试,P0,OpenHarmony设备与Sink端未建立过连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备,可以正常弹出鉴权弹框，包括“始终信任”、“仅限本次”、“取消”三个选项,版本 1,待评审
4,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“始终信任”选项的功能-OpenHarmony,CJINK,曹Sir,功能测试,P0,OpenHarmony设备与Sink端未建立过连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备，选择“始终信任”选项,弹出弹窗提示，Sink端设备将OpenHarmony设备添加到可信设备列表中,版本 1,待评审
5,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“仅限本次”选项的功能-OpenHarmony,CJINM,曹Sir,功能测试,P0,OpenHarmony设备与Sink端未建立过连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备，选择“仅限本次”选项,弹出弹窗提示，选择“仅限本次”后，允许本次连接,版本 1,待评审
6,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“取消”选项的功能-OpenHarmony 平板,CJINA,曹Sir,功能测试,P0,OpenHarmony 平板设备与Sink端未建立过连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备，选择取消选项,弹出弹窗提示，OpenHarmony 平板设备的连接请求被拒绝,版本 1,待评审
7,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证鉴权弹窗功能-HarmonyOS Next,CJINC,曹Sir,功能测试,P0,HarmonyOS Next设备与Sink端未建立过连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备,可以正常弹出鉴权弹框，包括“始终信任”、“仅限本次”、“取消”三个选项,版本 1,待评审
8,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“始终信任”选项的功能-HarmonyOS Next,CJIND,曹Sir,功能测试,P0,HarmonyOS Next设备与Sink端未建立过连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备，选择“始终信任”选项,弹出弹窗提示，Sink端设备将HarmonyOS Next设备添加到可信设备列表中,版本 1,待评审
9,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“仅限本次”选项的功能-HarmonyOS Next,CJINF,曹Sir,功能测试,P0,HarmonyOS Next设备与Sink端未建立过连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备，选择“仅限本次”选项,弹出弹窗提示，选择“仅限本次”后，允许本次连接,版本 1,待评审
10,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证鉴权弹窗功能-OpenHarmony 平板,CJIN5,曹Sir,功能测试,P0,OpenHarmony 平板设备与Sink端未建立过连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备,可以正常弹出鉴权弹框，包括“始终信任”、“仅限本次”、“取消”三个选项,版本 1,待评审
11,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“始终信任”选项的功能-OpenHarmony 平板,CJIN6,曹Sir,功能测试,P0,OpenHarmony 平板设备与Sink端未建立过连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备，选择“始终信任”选项,弹出弹窗提示，Sink端设备将OpenHarmony 平板设备添加到可信设备列表中,版本 1,待评审
12,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“仅限本次”选项的功能-OpenHarmony 平板,CJIN8,曹Sir,功能测试,P0,OpenHarmony 平板设备与Sink端未建立过连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备，选择“仅限本次”选项,弹出弹窗提示，选择“仅限本次”后，允许本次连接,版本 1,待评审
13,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证鉴权弹窗功能-OpenHarmony PC,CJIMY,曹Sir,功能测试,P0,OpenHarmony PC设备与Sink端未建立过连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备,可以正常弹出鉴权弹框，包括“始终信任”、“仅限本次”、“取消”三个选项,版本 1,待评审
14,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“始终信任”选项的功能-OpenHarmony PC,CJIMZ,曹Sir,功能测试,P0,OpenHarmony PC设备与Sink端未建立过连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备，选择“始终信任”选项,弹出弹窗提示，Sink端设备将OpenHarmony PC设备添加到可信设备列表中,版本 1,待评审
15,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“仅限本次”选项的功能-OpenHarmony PC,CJIN1,曹Sir,功能测试,P0,OpenHarmony PC设备与Sink端未建立过连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备，选择“仅限本次”选项,弹出弹窗提示，选择“仅限本次”后，允许本次连接,版本 1,待评审
16,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证“取消”选项的功能-OpenHarmony PC,CJIN3,曹Sir,功能测试,P0,OpenHarmony PC设备与Sink端未建立过连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备，选择取消选项,OpenHarmony PC设备的连接请求被拒绝,版本 1,待评审
17,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony 平板(点对点连接),CJIME,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony 平板设备通过点对点方式连接成功,Sink端设备已在OpenHarmony 平板设备的可用设备列表中被发现",,在OpenHarmony平板设备的可用设备列表中选择Sink端设备，等待连接建立，在OpenHarmony 平板设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示在OpenHarmony平板设备的屏幕内容,"",版本 1,待评审
